size, threshold, loops, keycomps, time, stddev
32768, 1024, 128, 16924614, 0.0839008057421875, 0.00048678218717889245
32768, 2048, 128, 33669090, 0.16452555260937501, 0.0009065815963280304
32768, 4096, 128, 67190772, 0.34644195954687496, 0.00224982079900569
32768, 8192, 128, 134266875, 0.6473936845859375, 0.0030695961860928043
32768, 16384, 128, 268451837, 1.29083761525, 0.005082526542206424
32768, 32768, 128, 536854528, 2.5809982019921875, 0.0062431636421658755
65536, 0, 32, 965693, 0.015403454, 2.3190739314120225e-05
65536, 1, 32, 965693, 0.0153797526875, 2.7101226488657676e-05
65536, 2, 32, 965693, 0.01476782334375, 1.4335135771512594e-05
65536, 4, 32, 987673, 0.014243795625, 2.82212710680002e-05
65536, 8, 32, 1066234, 0.01424172784375, 1.6924011882547432e-05
65536, 16, 32, 1270089, 0.014856445031250002, 1.5328534093337315e-05
65536, 32, 32, 1732691, 0.01664530871875, 1.4338055829953303e-05
65536, 64, 32, 2717698, 0.02076305753125, 1.382423486533333e-05
65536, 128, 32, 4750362, 0.029882854937499998, 6.180937835351173e-05
65536, 1024, 32, 33914764, 0.1685713964375, 0.0004973440233707191
65536, 4096, 32, 134447076, 0.65075903290625, 0.0020259158383347815
65536, 16384, 32, 536969209, 2.5872048114687503, 0.0099886749862368
65536, 65536, 32, 2147450880, 10.1387516691875, 0.03297147645272908
65536, 256, 32, 8879640, 0.04930367775, 0.0005935317139746435
65536, 512, 32, 17202956, 0.0891174948125, 0.0008759952842536733
65536, 2048, 32, 67403720, 0.329455896375, 0.002034758905285199
65536, 8192, 32, 268599284, 1.3813187973124998, 0.005879976317724648
65536, 32768, 32, 1073774591, 5.1449519121875, 0.005994634950140831
