size, threshold, loops, keycomps, time, stddev
256, 256, 131072, 32640, 0.00015715770317077638, 2.3116378894538307e-06
512, 1, 32768, 3973, 8.050498385620118e-05, 1.8299389267110308e-06
512, 2, 32768, 3973, 7.729004324340824e-05, 2.609024363369856e-06
512, 4, 32768, 4137, 7.332392807006832e-05, 1.2579494491909803e-06
512, 8, 32768, 4748, 7.439275399780277e-05, 1.3146558060198113e-06
512, 16, 32768, 6335, 7.916991351318361e-05, 1.2358954812278065e-06
512, 32, 32768, 9948, 9.221296124267572e-05, 1.7674119602992764e-06
512, 64, 32768, 17645, 0.00011921834533691412, 1.5477914545560445e-06
512, 128, 32768, 33533, 0.00018377535671997068, 1.8618272613320196e-06
512, 256, 32768, 65791, 0.00032345421875000014, 2.458305905084079e-06
512, 512, 32768, 130816, 0.0006143099403686525, 7.904932987884123e-06
1024, 0, 32768, 8962, 0.00020828559786987319, 3.0135569177048976e-06
1024, 1, 32768, 8962, 0.00020825919168090815, 2.3811379089200563e-06
1024, 2, 32768, 8962, 0.00020196262930297857, 2.030773649732462e-06
1024, 4, 32768, 9298, 0.00019466605950927736, 1.9548860369810614e-06
1024, 8, 32768, 10522, 0.00019518331112670904, 2.4894886758806705e-06
1024, 16, 32768, 13700, 0.000203094603088379, 2.3537975136976168e-06
1024, 32, 32768, 20926, 0.00022583707879638668, 2.0801959898524554e-06
1024, 64, 32768, 36316, 0.0002812066938476562, 2.682316468243946e-06
1024, 128, 32768, 68086, 0.00040898615930175773, 3.4390177361221116e-06
1024, 256, 32768, 132602, 0.0006860284100341788, 3.3596118994908836e-06
1024, 512, 32768, 262654, 0.0012702666494445799, 5.278446322049739e-06
1024, 1024, 32768, 523776, 0.0024237901079711913, 5.6438104828385e-06
2048, 0, 16384, 19958, 0.000527728154602051, 1.1259834510995366e-05
2048, 1, 16384, 19958, 0.0005271127777709966, 4.637788413246311e-06
2048, 2, 16384, 19958, 0.0005148928571166997, 3.6372253599272976e-06
2048, 4, 16384, 20652, 0.00049983497265625, 3.1804538584928266e-06
2048, 8, 16384, 23098, 0.0004990195809326172, 3.424092342638245e-06
2048, 16, 16384, 29456, 0.0005125746323242187, 3.2096451886876063e-06
2048, 32, 16384, 43900, 0.0005580956138305662, 2.975899128212653e-06
2048, 64, 16384, 74687, 0.0006679792160644531, 3.220597005398121e-06
2048, 128, 16384, 138213, 0.0009221151220092769, 4.007447048007887e-06
2048, 256, 16384, 267250, 0.0014772114506835942, 5.026361794513577e-06
2048, 512, 16384, 527354, 0.0026475962275390643, 7.432162904090056e-06
2048, 1024, 16384, 1049597, 0.005043634444213867, 2.5816796036062742e-05
2048, 2048, 16384, 2096128, 0.009681766268493652, 3.5490417531498376e-05
4096, 0, 4096, 44037, 0.0013659137016601573, 1.4789857403619434e-05
4096, 1, 4096, 44037, 0.0013642906289062498, 4.879536096565864e-06
4096, 2, 4096, 44037, 0.0013400528894042972, 5.202521836669749e-06
4096, 4, 4096, 45414, 0.0013121125991210933, 5.919770161482271e-06
4096, 8, 4096, 50301, 0.0013095873713378902, 5.8346314646892e-06
4096, 16, 4096, 63008, 0.001334564787109375, 5.214550738860096e-06
4096, 32, 4096, 91905, 0.0014199763269042973, 5.1453042251215646e-06
4096, 64, 4096, 153479, 0.0016421981596679684, 5.467635845642621e-06
4096, 128, 4096, 280524, 0.0021539192521972655, 6.217033396218007e-06
4096, 256, 4096, 538600, 0.0032567628527832033, 6.299590466333787e-06
4096, 512, 4096, 1058805, 0.005610156039306643, 1.5443941863998877e-05
4096, 1024, 4096, 2103290, 0.010236688632568356, 3.549648223816686e-05
4096, 2048, 4096, 4196350, 0.019648262398437498, 1.3100395771163212e-05
4096, 4096, 4096, 8386560, 0.03855861164794923, 1.6514662208560087e-05
8192, 0, 1024, 96159, 0.0038349853583984376, 9.225148638436106e-06
8192, 1, 1024, 96159, 0.003837365125976562, 9.557010557002445e-06
8192, 2, 1024, 96159, 0.0037880063017578128, 9.420118690674225e-06
8192, 4, 1024, 98907, 0.0037335031318359376, 1.5552856188618636e-05
8192, 8, 1024, 108733, 0.0037329410966796877, 1.0211725181966678e-05
8192, 16, 1024, 134201, 0.0037791056777343743, 9.862607697955225e-06
8192, 32, 1024, 192014, 0.003950481961914063, 1.0740820912136237e-05
8192, 64, 1024, 315139, 0.004385830815429688, 1.1893512313264056e-05
8192, 128, 1024, 569223, 0.005416252463867187, 9.295481608343329e-06
